[10-Mar-2016 08:20:47 UTC] Hello, errors!
[10-Mar-2016 09:31:18 UTC] Hello, errors!
[10-Mar-2016 09:31:53 UTC] Hello, errors!
[10-Mar-2016 09:31:53 UTC] PHP Notice:  Undefined index: prijmeni in /home/daniela/woti/class/ClassLideViews.php on line 67
[10-Mar-2016 09:32:56 UTC] Hello, errors!
[10-Mar-2016 09:34:26 UTC] Hello, errors!
[10-Mar-2016 09:34:58 UTC] Hello, errors!
[10-Mar-2016 09:37:23 UTC] Hello, errors!
[10-Mar-2016 09:38:54 UTC] Hello, errors!
[10-Mar-2016 09:38:56 UTC] Hello, errors!
[10-Mar-2016 09:38:56 UTC] PHP Notice:  Undefined variable: pole in /home/daniela/woti/lide.php on line 55
[10-Mar-2016 09:38:56 UTC] PHP Warning:  Invalid argument supplied for foreach() in /home/daniela/woti/class/ClassLideViews.php on line 43
[10-Mar-2016 09:40:23 UTC] Hello, errors!
[10-Mar-2016 09:41:12 UTC] Hello, errors!
[10-Mar-2016 09:41:56 UTC] Hello, errors!
[10-Mar-2016 09:41:57 UTC] Hello, errors!
[10-Mar-2016 09:42:16 UTC] Hello, errors!
[10-Mar-2016 09:42:28 UTC] Hello, errors!
[10-Mar-2016 09:42:30 UTC] Hello, errors!
[10-Mar-2016 09:42:31 UTC] Hello, errors!
[10-Mar-2016 09:53:36 UTC] Hello, errors!
[14-Mar-2016 12:48:29 UTC] Hello, errors!
[14-Mar-2016 12:48:34 UTC] Hello, errors!
[14-Mar-2016 12:48:37 UTC] Hello, errors!
[14-Mar-2016 12:52:52 UTC] Hello, errors!
[14-Mar-2016 12:52:54 UTC] Hello, errors!
[14-Mar-2016 12:52:57 UTC] Hello, errors!
[14-Mar-2016 12:52:59 UTC] Hello, errors!
[14-Mar-2016 12:53:01 UTC] Hello, errors!
[14-Mar-2016 12:53:02 UTC] Hello, errors!
[14-Mar-2016 12:55:01 UTC] Hello, errors!
[14-Mar-2016 13:40:19 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /home/daniela/woti/class/ClassZakazkyViews.php on line 13
[14-Mar-2016 13:47:42 UTC] Hello, errors!
[14-Mar-2016 13:47:43 UTC] Hello, errors!
[14-Mar-2016 13:47:45 UTC] Hello, errors!
[14-Mar-2016 13:47:47 UTC] Hello, errors!
[14-Mar-2016 13:47:49 UTC] Hello, errors!
[14-Mar-2016 13:48:35 UTC] Hello, errors!
[14-Mar-2016 13:48:35 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /home/daniela/woti/class/ClassLideViews.php on line 51
[14-Mar-2016 13:49:32 UTC] Hello, errors!
[14-Mar-2016 13:49:32 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /home/daniela/woti/class/ClassLideViews.php on line 51
[14-Mar-2016 13:51:28 UTC] Hello, errors!
[14-Mar-2016 13:51:28 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /home/daniela/woti/class/ClassLideViews.php on line 51
[14-Mar-2016 13:51:34 UTC] Hello, errors!
[14-Mar-2016 13:51:34 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /home/daniela/woti/class/ClassLideViews.php on line 51
[14-Mar-2016 13:53:04 UTC] Hello, errors!
[14-Mar-2016 13:53:09 UTC] Hello, errors!
[14-Mar-2016 13:53:16 UTC] Hello, errors!
[14-Mar-2016 14:10:12 UTC] Hello, errors!
[14-Mar-2016 14:10:13 UTC] Hello, errors!
